"N","ExpectedLength","Method","M","m"
185,402.728716770745,"Analog to Clopper-Pearson",50,5
186,405.088356854386,"Analog to Clopper-Pearson",50,5
187,407.440649742128,"Analog to Clopper-Pearson",50,5
188,409.785293678323,"Analog to Clopper-Pearson",50,5
189,412.121981748397,"Analog to Clopper-Pearson",50,5
190,414.450402170672,"Analog to Clopper-Pearson",50,5
191,416.770238596673,"Analog to Clopper-Pearson",50,5
192,419.081170418961,"Analog to Clopper-Pearson",50,5
193,421.382873085638,"Analog to Clopper-Pearson",50,5
194,423.675018420819,"Analog to Clopper-Pearson",50,5
195,425.957274949944,"Analog to Clopper-Pearson",50,5
196,428.2293082295,"Analog to Clopper-Pearson",50,5
197,430.490781179846,"Analog to Clopper-Pearson",50,5
198,432.741354420768,"Analog to Clopper-Pearson",50,5
199,434.980686608718,"Analog to Clopper-Pearson",50,5
200,437.20843477503,"Analog to Clopper-Pearson",50,5
50,12,"Analog to Clopper-Pearson",50,15
51,13.7647058823529,"Analog to Clopper-Pearson",50,15
52,15.5294117647059,"Analog to Clopper-Pearson",50,15
53,17.2650900708614,"Analog to Clopper-Pearson",50,15
54,18.9523890833547,"Analog to Clopper-Pearson",50,15
55,20.5816329434531,"Analog to Clopper-Pearson",50,15
56,22.1504341015995,"Analog to Clopper-Pearson",50,15
57,23.6611172770995,"Analog to Clopper-Pearson",50,15
58,25.1186525595037,"Analog to Clopper-Pearson",50,15
59,26.5292043272403,"Analog to Clopper-Pearson",50,15
60,27.8991498765424,"Analog to Clopper-Pearson",50,15
61,29.2344358285188,"Analog to Clopper-Pearson",50,15
62,30.5402031034741,"Analog to Clopper-Pearson",50,15
63,31.8206341066997,"Analog to Clopper-Pearson",50,15
64,33.0789698870271,"Analog to Clopper-Pearson",50,15
65,34.3176372661718,"Analog to Clopper-Pearson",50,15
66,35.5384285191715,"Analog to Clopper-Pearson",50,15
67,36.7426882883386,"Analog to Clopper-Pearson",50,15
68,37.9314784116788,"Analog to Clopper-Pearson",50,15
69,39.1057062636498,"Analog to Clopper-Pearson",50,15
70,40.2662134481295,"Analog to Clopper-Pearson",50,15
71,41.4138287211556,"Analog to Clopper-Pearson",50,15
72,42.549392485724,"Analog to Clopper-Pearson",50,15
73,43.673761123358,"Analog to Clopper-Pearson",50,15
74,44.7877987986393,"Analog to Clopper-Pearson",50,15
75,45.8923629683476,"Analog to Clopper-Pearson",50,15
76,46.9882881773746,"Analog to Clopper-Pearson",50,15
77,48.07637115307,"Analog to Clopper-Pearson",50,15
78,49.1573588879436,"Analog to Clopper-Pearson",50,15
79,50.2319403923636,"Analog to Clopper-Pearson",50,15
80,51.3007421023999,"Analog to Clopper-Pearson",50,15
81,52.3643265039649,"Analog to Clopper-Pearson",50,15
82,53.4231933262811,"Analog to Clopper-Pearson",50,15
83,54.4777826052905,"Analog to Clopper-Pearson",50,15
84,55.5284789657565,"Analog to Clopper-Pearson",50,15
85,56.5756165740906,"Analog to Clopper-Pearson",50,15
86,57.619484338208,"Analog to Clopper-Pearson",50,15
87,58.660331052992,"Analog to Clopper-Pearson",50,15
88,59.6983702965439,"Analog to Clopper-Pearson",50,15
89,60.7337849672248,"Analog to Clopper-Pearson",50,15
90,61.7667314134425,"Analog to Clopper-Pearson",50,15
91,62.7973431494827,"Analog to Clopper-Pearson",50,15
92,63.8257341752786,"Analog to Clopper-Pearson",50,15
93,64.8520019301241,"Analog to Clopper-Pearson",50,15
94,65.8762299141871,"Analog to Clopper-Pearson",50,15
95,66.8984900104358,"Analog to Clopper-Pearson",50,15
96,67.9188445360475,"Analog to Clopper-Pearson",50,15
97,68.9373480480894,"Analog to Clopper-Pearson",50,15
98,69.9540489243212,"Analog to Clopper-Pearson",50,15
99,70.9689907369632,"Analog to Clopper-Pearson",50,15
100,71.982213435131,"Analog to Clopper-Pearson",50,15
101,72.9937543504733,"Analog to Clopper-Pearson",50,15
102,74.0036490399424,"Analog to Clopper-Pearson",50,15
103,75.0119319794816,"Analog to Clopper-Pearson",50,15
104,76.0186371224624,"Analog to Clopper-Pearson",50,15
105,77.0237983366727,"Analog to Clopper-Pearson",50,15
106,78.0274497336293,"Analog to Clopper-Pearson",50,15
107,79.029625903683,"Analog to Clopper-Pearson",50,15
108,80.0303620699684,"Analog to Clopper-Pearson",50,15
109,81.0296941735098,"Analog to Clopper-Pearson",50,15
110,82.0276589010979,"Analog to Clopper-Pearson",50,15
111,83.0242936665329,"Analog to Clopper-Pearson",50,15
112,84.0196365548306,"Analog to Clopper-Pearson",50,15
113,85.0137262379967,"Analog to Clopper-Pearson",50,15
114,86.0066018698527,"Analog to Clopper-Pearson",50,15
115,86.9983029664485,"Analog to Clopper-Pearson",50,15
116,87.988869277576,"Analog to Clopper-Pearson",50,15
117,88.9783406540387,"Analog to Clopper-Pearson",50,15
118,89.966756914473,"Analog to Clopper-Pearson",50,15
119,90.9541577147838,"Analog to Clopper-Pearson",50,15
120,91.9405824225981,"Analog to Clopper-Pearson",50,15
121,92.9260699985838,"Analog to Clopper-Pearson",50,15
122,93.910658885887,"Analog to Clopper-Pearson",50,15
123,94.8943869086438,"Analog to Clopper-Pearson",50,15
124,95.8772911800665,"Analog to Clopper-Pearson",50,15
125,96.8594080203404,"Analog to Clopper-Pearson",50,15
126,97.8407728843386,"Analog to Clopper-Pearson",50,15
127,98.8214202989645,"Analog to Clopper-Pearson",50,15
128,99.8013838097931,"Analog to Clopper-Pearson",50,15
129,100.780695936572,"Analog to Clopper-Pearson",50,15
130,101.759388137097,"Analog to Clopper-Pearson",50,15
131,102.737490778895,"Analog to Clopper-Pearson",50,15
132,103.715033118167,"Analog to Clopper-Pearson",50,15
133,104.692043285397,"Analog to Clopper-Pearson",50,15
134,105.668548277106,"Analog to Clopper-Pearson",50,15
135,106.644573953175,"Analog to Clopper-Pearson",50,15
136,107.620145039241,"Analog to Clopper-Pearson",50,15
137,108.595285133672,"Analog to Clopper-Pearson",50,15
138,109.570016718689,"Analog to Clopper-Pearson",50,15
139,110.544361175176,"Analog to Clopper-Pearson",50,15
140,111.518338800756,"Analog to Clopper-Pearson",50,15
141,112.491968830765,"Analog to Clopper-Pearson",50,15
142,113.465269461667,"Analog to Clopper-Pearson",50,15
143,114.438257876488,"Analog to Clopper-Pearson",50,15
144,115.41095027174,"Analog to Clopper-Pearson",50,15
145,116.383361885303,"Analog to Clopper-Pearson",50,15
146,117.355507024519,"Analog to Clopper-Pearson",50,15
147,118.327399093656,"Analog to Clopper-Pearson",50,15
148,119.299050619701,"Analog to Clopper-Pearson",50,15
149,120.270473275158,"Analog to Clopper-Pearson",50,15
150,121.24167789631,"Analog to Clopper-Pearson",50,15
151,122.212674494971,"Analog to Clopper-Pearson",50,15
152,123.183472261489,"Analog to Clopper-Pearson",50,15
153,124.154079556355,"Analog to Clopper-Pearson",50,15
154,125.124503887288,"Analog to Clopper-Pearson",50,15
155,126.094751868348,"Analog to Clopper-Pearson",50,15
156,127.064829157205,"Analog to Clopper-Pearson",50,15
157,128.034740366282,"Analog to Clopper-Pearson",50,15
158,129.004488943306,"Analog to Clopper-Pearson",50,15
159,129.974077016392,"Analog to Clopper-Pearson",50,15
160,130.943505198784,"Analog to Clopper-Pearson",50,15
161,131.912772348293,"Analog to Clopper-Pearson",50,15
162,132.881875276492,"Analog to Clopper-Pearson",50,15
163,133.85080840308,"Analog to Clopper-Pearson",50,15
164,134.819563351051,"Analog to Clopper-Pearson",50,15
165,135.788128478923,"Analog to Clopper-Pearson",50,15
166,136.756488346858,"Analog to Clopper-Pearson",50,15
167,137.724623114367,"Analog to Clopper-Pearson",50,15
168,138.692507868166,"Analog to Clopper-Pearson",50,15
169,139.660111879811,"Analog to Clopper-Pearson",50,15
170,140.627397793893,"Analog to Clopper-Pearson",50,15
171,141.594320748752,"Analog to Clopper-Pearson",50,15
172,142.560827432955,"Analog to Clopper-Pearson",50,15
173,143.526855082081,"Analog to Clopper-Pearson",50,15
174,144.492330421589,"Analog to Clopper-Pearson",50,15
175,145.457168562844,"Analog to Clopper-Pearson",50,15
176,146.421271860555,"Analog to Clopper-Pearson",50,15
177,147.384528740975,"Analog to Clopper-Pearson",50,15
178,148.346812511196,"Analog to Clopper-Pearson",50,15
179,149.307980160797,"Analog to Clopper-Pearson",50,15
180,150.267871167729,"Analog to Clopper-Pearson",50,15
181,151.226306321007,"Analog to Clopper-Pearson",50,15
182,152.183086572998,"Analog to Clopper-Pearson",50,15
183,153.13799193444,"Analog to Clopper-Pearson",50,15
184,154.090780425211,"Analog to Clopper-Pearson",50,15
185,155.041187093863,"Analog to Clopper-Pearson",50,15
186,155.988923118368,"Analog to Clopper-Pearson",50,15
187,156.933675000159,"Analog to Clopper-Pearson",50,15
188,157.875103862822,"Analog to Clopper-Pearson",50,15
189,158.812844865887,"Analog to Clopper-Pearson",50,15
190,159.746506743261,"Analog to Clopper-Pearson",50,15
191,160.675671474734,"Analog to Clopper-Pearson",50,15
192,161.599894097758,"Analog to Clopper-Pearson",50,15
193,162.518702665437,"Analog to Clopper-Pearson",50,15
194,163.431598355388,"Analog to Clopper-Pearson",50,15
195,164.33805573259,"Analog to Clopper-Pearson",50,15
196,165.237523168209,"Analog to Clopper-Pearson",50,15
197,166.129423414618,"Analog to Clopper-Pearson",50,15
198,167.013154335828,"Analog to Clopper-Pearson",50,15
199,167.888089790918,"Analog to Clopper-Pearson",50,15
200,168.753580666838,"Analog to Clopper-Pearson",50,15
25,27,"MST",25,5
26,30.6538461538462,"MST",25,5
27,34.1794871794872,"MST",25,5
28,37.6303418803419,"MST",25,5
29,41.0303566165635,"MST",25,5
30,44.3899204244032,"MST",25,5
31,47.7135088369794,"MST",25,5
32,51.0031742296759,"MST",25,5
33,54.2601822537863,"MST",25,5
34,57.4857664037635,"MST",25,5
35,60.681419525969,"MST",25,5
36,63.8489413548712,"MST",25,5
37,66.9903741048968,"MST",25,5
38,70.1079024936631,"MST",25,5
39,73.2037563228007,"MST",25,5
40,76.2801303947129,"MST",25,5
41,79.3391245821184,"MST",25,5
42,82.3827020795782,"MST",25,5
43,85.4126626977922,"MST",25,5
44,88.4306282724545,"MST",25,5
45,91.4380377497694,"MST",25,5
46,94.4361498954455,"MST",25,5
47,97.4260518137554,"MST",25,5
48,100.408671629267,"MST",25,5
49,103.384793845584,"MST",25,5
50,106.355076087465,"MST",25,5
51,109.320066157603,"MST",25,5
52,112.280218581523,"MST",25,5
53,115.235910051843,"MST",25,5
54,118.18745339807,"MST",25,5
55,121.135109887867,"MST",25,5
56,124.079099805719,"MST",25,5
57,127.019611356115,"MST",25,5
58,129.956808005511,"MST",25,5
59,132.890834416982,"MST",25,5
60,135.821821150171,"MST",25,5
61,138.749888302988,"MST",25,5
62,141.675148265291,"MST",25,5
63,144.597707742319,"MST",25,5
64,147.51766918975,"MST",25,5
65,150.435131784757,"MST",25,5
66,153.350192039826,"MST",25,5
67,156.262944149153,"MST",25,5
68,159.173480141703,"MST",25,5
69,162.081889900906,"MST",25,5
70,164.988261098453,"MST",25,5
71,167.892679078921,"MST",25,5
72,170.795226722818,"MST",25,5
73,173.695984308093,"MST",25,5
74,176.595029383953,"MST",25,5
75,179.492436665918,"MST",25,5
76,182.388277957197,"MST",25,5
77,185.282622098547,"MST",25,5
78,188.17553494665,"MST",25,5
79,191.067079379532,"MST",25,5
80,193.957315326578,"MST",25,5
81,196.846299820094,"MST",25,5
82,199.734087065138,"MST",25,5
83,202.620728524235,"MST",25,5
84,205.506273013793,"MST",25,5
85,208.390766809181,"MST",25,5
86,211.274253755806,"MST",25,5
87,214.156775383793,"MST",25,5
88,217.03837102425,"MST",25,5
89,219.919077925417,"MST",25,5
90,222.798931367306,"MST",25,5
91,225.677964773735,"MST",25,5
92,228.556209820911,"MST",25,5
93,231.433696541911,"MST",25,5
94,234.310453426642,"MST",25,5
95,237.186507516988,"MST",25,5
96,240.06188449697,"MST",25,5
97,242.936608777872,"MST",25,5
98,245.810703578312,"MST",25,5
99,248.684190999287,"MST",25,5
100,251.557092094174,"MST",25,5
101,254.429426933629,"MST",25,5
102,257.301214665164,"MST",25,5
103,260.172473567019,"MST",25,5
104,263.04322109568,"MST",25,5
105,265.913473926074,"MST",25,5
106,268.783247983137,"MST",25,5
107,271.652558463002,"MST",25,5
108,274.521419841673,"MST",25,5
109,277.389845868606,"MST",25,5
110,280.25784954221,"MST",25,5
111,283.125443063973,"MST",25,5
112,285.992637767572,"MST",25,5
113,288.859444019214,"MST",25,5
114,291.725871085337,"MST",25,5
115,294.591926963847,"MST",25,5
116,297.45761817528,"MST",25,5
117,300.322949510557,"MST",25,5
118,303.187923732442,"MST",25,5
119,306.052541228381,"MST",25,5
120,308.916799613065,"MST",25,5
121,311.780693279762,"MST",25,5
122,314.644212900344,"MST",25,5
123,317.507344874731,"MST",25,5
124,320.370070731398,"MST",25,5
125,323.232366481426,"MST",25,5
126,326.09420192948,"MST",25,5
127,328.955539945872,"MST",25,5
128,331.816335704628,"MST",25,5
129,334.676535893163,"MST",25,5
130,337.536077899728,"MST",25,5
131,340.394888985305,"MST",25,5
132,343.252885446974,"MST",25,5
133,346.109971780076,"MST",25,5
134,348.966039846613,"MST",25,5
135,351.82096805741,"MST",25,5
136,354.67462057548,"MST",25,5
137,357.526846547878,"MST",25,5
138,360.377479373077,"MST",25,5
139,363.226336010558,"MST",25,5
140,366.073216338892,"MST",25,5
141,368.917902568112,"MST",25,5
142,371.760158711631,"MST",25,5
143,374.599730122398,"MST",25,5
144,377.436343097357,"MST",25,5
145,380.269704553649,"MST",25,5
146,383.09950177933,"MST",25,5
147,385.925402260768,"MST",25,5
148,388.747053588164,"MST",25,5
149,391.564083440084,"MST",25,5
150,394.376099647206,"MST",25,5
151,397.182690334937,"MST",25,5
152,399.983424143965,"MST",25,5
153,402.777850527307,"MST",25,5
154,405.565500121896,"MST",25,5
155,408.345885192328,"MST",25,5
156,411.118500143965,"MST",25,5
157,413.882822102236,"MST",25,5
158,416.638311554641,"MST",25,5
159,419.384413051718,"MST",25,5
160,422.120555962975,"MST",25,5
161,424.846155283601,"MST",25,5
162,427.560612487654,"MST",25,5
163,430.263316423253,"MST",25,5
164,432.95364424531,"MST",25,5
165,435.63096238123,"MST",25,5
166,438.294627525053,"MST",25,5
167,440.94398765551,"MST",25,5
168,443.578383073552,"MST",25,5
169,446.19714745496,"MST",25,5
170,448.799608913771,"MST",25,5
171,451.385091072378,"MST",25,5
172,453.952914134294,"MST",25,5
173,456.50239595574,"MST",25,5
174,459.032853112388,"MST",25,5
175,461.543601957765,"MST",25,5
176,464.033959670018,"MST",25,5
177,466.503245283952,"MST",25,5
178,468.950780705428,"MST",25,5
179,471.375891705451,"MST",25,5
180,473.777908891441,"MST",25,5
181,476.156168653437,"MST",25,5
182,478.510014083143,"MST",25,5
183,480.838795863975,"MST",25,5
184,483.141873130427,"MST",25,5
185,485.418614295298,"MST",25,5
186,487.668397843499,"MST",25,5
187,489.890613091352,"MST",25,5
188,492.084660910474,"MST",25,5
189,494.249954415484,"MST",25,5
190,496.385919614978,"MST",25,5
191,498.491996025335,"MST",25,5
192,500.567637247084,"MST",25,5
193,502.612311503701,"MST",25,5
194,504.625502142817,"MST",25,5
195,506.606708099984,"MST",25,5
196,508.555444325197,"MST",25,5
197,510.471242172549,"MST",25,5
198,512.353649753429,"MST",25,5
199,514.202232253804,"MST",25,5
200,516.016572216197,"MST",25,5
25,4,"MST",25,15
26,5.73076923076923,"MST",25,15
27,6.77777777777778,"MST",25,15
28,7.97130647130647,"MST",25,15
29,9.1109426971496,"MST",25,15
30,10.1895288619427,"MST",25,15
31,11.1957513503676,"MST",25,15
32,12.1190758012226,"MST",25,15
33,12.9842940399114,"MST",25,15
34,13.8161062148826,"MST",25,15
35,14.6355209492028,"MST",25,15
36,15.446675250346,"MST",25,15
37,16.2462672429302,"MST",25,15
38,17.034970692924,"MST",25,15
39,17.8176698988712,"MST",25,15
40,18.5990433404226,"MST",25,15
41,19.3806752761147,"MST",25,15
42,20.1618849313103,"MST",25,15
43,20.9421402400855,"MST",25,15
44,21.7216199982084,"MST",25,15
45,22.50079006455,"MST",25,15
46,23.2802496554158,"MST",25,15
47,24.0604897039984,"MST",25,15
48,24.8416824836561,"MST",25,15
49,25.6236020590593,"MST",25,15
50,26.4057590516814,"MST",25,15
51,27.1836904445963,"MST",25,15
52,27.9431318645541,"MST",25,15
53,28.6566572970147,"MST",25,15
54,29.2852214747772,"MST",25,15
55,29.7838374993738,"MST",25,15
56,30.1089437580663,"MST",25,15
57,30.2250543045867,"MST",25,15
58,30.1092208085007,"MST",25,15
59,29.7528773513596,"MST",25,15
60,29.1613858184999,"MST",25,15
61,28.3519643477568,"MST",25,15
62,27.3507445743802,"MST",25,15
63,26.1895897847178,"MST",25,15
64,24.9031220321737,"MST",25,15
65,23.5262210058984,"MST",25,15
66,22.0921058528858,"MST",25,15
67,20.6310041298953,"MST",25,15
68,19.1693468771004,"MST",25,15
69,17.7293967820176,"MST",25,15
70,16.3292076048753,"MST",25,15
71,14.9828186588392,"MST",25,15
72,13.7006013920955,"MST",25,15
73,12.4896912920744,"MST",25,15
74,11.3544544693707,"MST",25,15
75,10.2969527460788,"MST",25,15
76,9.31738314535822,"MST",25,15
77,8.41447720476468,"MST",25,15
78,7.58585269014517,"MST",25,15
79,6.82831540204414,"MST",25,15
80,6.13811222554634,"MST",25,15
81,5.51113874883901,"MST",25,15
82,4.94310599413189,"MST",25,15
83,4.42967134031195,"MST",25,15
84,3.96653878703493,"MST",25,15
85,3.54953348093804,"MST",25,15
86,3.17465501888017,"MST",25,15
87,2.8381135479248,"MST",25,15
88,2.53635215702009,"MST",25,15
89,2.26605854006981,"MST",25,15
90,2.02416842817027,"MST",25,15
91,1.80786285322529,"MST",25,15
92,1.61456092151955,"MST",25,15
93,1.44190944479558,"MST",25,15
94,1.28777049554355,"MST",25,15
95,1.15020771842519,"MST",25,15
96,1.02747203600812,"MST",25,15
97,0.917987229027007,"MST",25,15
98,0.82033574408232,"MST",25,15
99,0.733244980254952,"MST",25,15
100,0.655574226247125,"MST",25,15
101,0.586302357561138,"MST",25,15
102,0.524516355620918,"MST",25,15
103,0.469400674838019,"MST",25,15
104,0.420227457081312,"MST",25,15
105,0.376347573882466,"MST",25,15
106,0.33718246339659,"MST",25,15
107,0.302216720334467,"MST",25,15
108,0.270991391734707,"MST",25,15
109,0.243097928705406,"MST",25,15
110,0.218172743462884,"MST",25,15
111,0.195892321599596,"MST",25,15
112,0.175968841109782,"MST",25,15
113,0.15814625196899,"MST",25,15
114,0.142196772756656,"MST",25,15
115,0.127917763743547,"MST",25,15
116,0.11512893890003,"MST",25,15
117,0.103669882315554,"MST",25,15
118,0.0933978374827532,"MST",25,15
119,0.0841857407416158,"MST",25,15
120,0.0759204728680323,"MST",25,15
121,0.0685013053075449,"MST",25,15
122,0.0618385198897358,"MST",25,15
123,0.0558521830090671,"MST",25,15
124,0.0504710572268506,"MST",25,15
125,0.0456316350426769,"MST",25,15
126,0.0412772812107349,"MST",25,15
127,0.0373574714471175,"MST",25,15
128,0.0338271166993652,"MST",25,15
129,0.0306459633403362,"MST",25,15
130,0.0277780607161613,"MST",25,15
131,0.0251912884333664,"MST",25,15
132,0.022856936623559,"MST",25,15
133,0.0207493331851314,"MST",25,15
134,0.0188455126793133,"MST",25,15
135,0.0171249221610259,"MST",25,15
136,0.0155691597610658,"MST",25,15
137,0.0141617423122305,"MST",25,15
138,0.0128878987345071,"MST",25,15
139,0.0117343862691693,"MST",25,15
140,0.0106893269838072,"MST",25,15
141,0.0097420622646513,"MST",25,15
142,0.00888302327326459,"MST",25,15
143,0.00810361557553845,"MST",25,15
144,0.00739611635532145,"MST",25,15
145,0.00675358280592697,"MST",25,15
146,0.00616977045289626,"MST",25,15
147,0.00563906030311002,"MST",25,15
148,0.00515639384076229,"MST",25,15
149,0.00471721500170902,"MST",25,15
150,0.00431741835594561,"MST",25,15
151,0.00395330281492442,"MST",25,15
152,0.00362153025740196,"MST",25,15
153,0.00331908853565878,"MST",25,15
154,0.0030432583842868,"MST",25,15
155,0.00279158380718997,"MST",25,15
156,0.00256184556579604,"MST",25,15
157,0.00235203743343276,"MST",25,15
158,0.00216034491800793,"MST",25,15
159,0.00198512618809747,"MST",25,15
160,0.00182489496677876,"MST",25,15
161,0.00167830518347597,"MST",25,15
162,0.00154413719709162,"MST",25,15
163,0.00142128542411872,"MST",25,15
164,0.00130874722355848,"MST",25,15
165,0.00120561290657071,"MST",25,15
166,0.00111105675309048,"MST",25,15
167,0.0010243289303592,"MST",25,15
168,0.000944748219622849,"MST",25,15
169,0.000871695467304314,"MST",25,15
170,0.000804607685902077,"MST",25,15
171,0.000742972737829808,"MST",25,15
172,0.000686324542500573,"MST",25,15
173,0.000634238753274282,"MST",25,15
174,0.000586328856513964,"MST",25,15
175,0.00054224265001255,"MST",25,15
176,0.000501659062525123,"MST",25,15
177,0.000464285280132353,"MST",25,15
178,0.000429854148722527,"MST",25,15
179,0.000398121825059705,"MST",25,15
180,0.000368865651745969,"MST",25,15
181,0.000341882233923905,"MST",25,15
182,0.000316985697834395,"MST",25,15
183,0.000294006113373902,"MST",25,15
184,0.000272788064610768,"MST",25,15
185,0.000253189353844856,"MST",25,15
186,0.000235079826249635,"MST",25,15
187,0.000218340303439015,"MST",25,15
188,0.000202861615468974,"MST",25,15
189,0.00018854372183096,"MST",25,15
190,0.00017529491293293,"MST",25,15
191,0.000163031084406339,"MST",25,15
192,0.000151675077333484,"MST",25,15
193,0.000141156078168634,"MST",25,15
194,0.000131409072736236,"MST",25,15
195,0.000122374349237686,"MST",25,15
196,0.000113997045690885,"MST",25,15
197,0.000106226737670058,"MST",25,15
198,9.90170626120802e-05,"MST",25,15
199,9.23253773145167e-05,"MST",25,15
200,8.61124455738462e-05,"MST",25,15
50,62,"MST",50,5
51,66.1176470588235,"MST",50,5
52,70.1674208144796,"MST",50,5
53,74.155297532656,"MST",50,5
54,78.0868107926931,"MST",50,5
55,81.9670514875842,"MST",50,5
56,85.8006807596153,"MST",50,5
57,89.591950878942,"MST",50,5
58,93.3447303636164,"MST",50,5
59,97.0625309307939,"MST",50,5
60,100.748534788311,"MST",50,5
61,104.405621366413,"MST",50,5
62,108.036392958989,"MST",50,5
63,111.643198976835,"MST",50,5
64,115.228158665472,"MST",50,5
65,118.793182237544,"MST",50,5
66,122.339990432692,"MST",50,5
67,125.870132556589,"MST",50,5
68,129.385003072707,"MST",50,5
69,132.88585683041,"MST",50,5
70,136.373823015279,"MST",50,5
71,139.849917905124,"MST",50,5
72,143.315056510359,"MST",50,5
73,146.770063171949,"MST",50,5
74,150.215681184934,"MST",50,5
75,153.65258151123,"MST",50,5
76,157.081370642076,"MST",50,5
77,160.502597668123,"MST",50,5
78,163.916760613512,"MST",50,5
79,167.324312089061,"MST",50,5
80,170.725664318669,"MST",50,5
81,174.121193591968,"MST",50,5
82,177.511244194959,"MST",50,5
83,180.896131868781,"MST",50,5
84,184.276146844742,"MST",50,5
85,187.651556501465,"MST",50,5
86,191.022607687223,"MST",50,5
87,194.389528747722,"MST",50,5
88,197.752531296307,"MST",50,5
89,201.111811760422,"MST",50,5
90,204.46755273483,"MST",50,5
91,207.819924168798,"MST",50,5
92,211.169084411436,"MST",50,5
93,214.515181136159,"MST",50,5
94,217.858352162709,"MST",50,5
95,221.198726192266,"MST",50,5
96,224.536423469007,"MST",50,5
97,227.87155637925,"MST",50,5
98,231.204229997278,"MST",50,5
99,234.534542585417,"MST",50,5
100,237.862586054204,"MST",50,5
101,241.188446387304,"MST",50,5
102,244.512204034541,"MST",50,5
103,247.833934275433,"MST",50,5
104,251.153707554792,"MST",50,5
105,254.471589791034,"MST",50,5
106,257.787642657366,"MST",50,5
107,261.101923835322,"MST",50,5
108,264.414487239856,"MST",50,5
109,267.72538321454,"MST",50,5
110,271.034658695549,"MST",50,5
111,274.342357342633,"MST",50,5
112,277.648519635239,"MST",50,5
113,280.953182932112,"MST",50,5
114,284.256381492488,"MST",50,5
115,287.558146457405,"MST",50,5
116,290.858505789654,"MST",50,5
117,294.157484171323,"MST",50,5
118,297.455102858106,"MST",50,5
119,300.751379489944,"MST",50,5
120,304.04632785803,"MST",50,5
121,307.339957628688,"MST",50,5
122,310.632274024846,"MST",50,5
123,313.92327746668,"MST",50,5
124,317.212963173193,"MST",50,5
125,320.501320727042,"MST",50,5
126,323.788333605405,"MST",50,5
127,327.07397868006,"MST",50,5
128,330.358225690248,"MST",50,5
129,333.641036692218,"MST",50,5
130,336.922365489705,"MST",50,5
131,340.202157049768,"MST",50,5
132,343.480346908669,"MST",50,5
133,346.756860572549,"MST",50,5
134,350.031612917898,"MST",50,5
135,353.304507596618,"MST",50,5
136,356.575436450646,"MST",50,5
137,359.844278940946,"MST",50,5
138,363.11090159559,"MST",50,5
139,366.37515748148,"MST",50,5
140,369.636885703908,"MST",50,5
141,372.895910938241,"MST",50,5
142,376.152042997345,"MST",50,5
143,379.405076438343,"MST",50,5
144,382.654790211761,"MST",50,5
145,385.900947356002,"MST",50,5
146,389.143294739456,"MST",50,5
147,392.381562852369,"MST",50,5
148,395.615465650147,"MST",50,5
149,398.844700449383,"MST",50,5
150,402.068947877635,"MST",50,5
151,405.287871877311,"MST",50,5
152,408.501119764012,"MST",50,5
153,411.708322339257,"MST",50,5
154,414.909094056904,"MST",50,5
155,418.103033242617,"MST",50,5
156,421.289722365292,"MST",50,5
157,424.468728358981,"MST",50,5
158,427.639602993916,"MST",50,5
159,430.801883294521,"MST",50,5
160,433.955092002553,"MST",50,5
161,437.098738083174,"MST",50,5
162,440.232317271346,"MST",50,5
163,443.35531265632,"MST",50,5
164,446.467195301332,"MST",50,5
165,449.567424895942,"MST",50,5
166,452.655450438128,"MST",50,5
167,455.730710943331,"MST",50,5
168,458.792636177559,"MST",50,5
169,461.840647411664,"MST",50,5
170,464.874158193886,"MST",50,5
171,467.892575137832,"MST",50,5
172,470.895298723003,"MST",50,5
173,473.881724105208,"MST",50,5
174,476.851241933968,"MST",50,5
175,479.80323917441,"MST",50,5
176,482.737099931011,"MST",50,5
177,485.652206270783,"MST",50,5
178,488.547939043393,"MST",50,5
179,491.423678696125,"MST",50,5
180,494.278806081281,"MST",50,5
181,497.112703254309,"MST",50,5
182,499.924754260348,"MST",50,5
183,502.714345907695,"MST",50,5
184,505.480868526177,"MST",50,5
185,508.223716709286,"MST",50,5
186,510.942290038228,"MST",50,5
187,513.635993786709,"MST",50,5
188,516.304239605356,"MST",50,5
189,518.946446184519,"MST",50,5
190,521.562039894523,"MST",50,5
191,524.150455402622,"MST",50,5
192,526.711136265773,"MST",50,5
193,529.243535498594,"MST",50,5
194,531.747116116138,"MST",50,5
195,534.221351650719,"MST",50,5
196,536.665726642924,"MST",50,5
197,539.079737105968,"MST",50,5
198,541.462890963782,"MST",50,5
199,543.814708462414,"MST",50,5
200,546.134722554824,"MST",50,5
50,12,"MST",50,15
51,13.7647058823529,"MST",50,15
52,15.5294117647059,"MST",50,15
53,17.236062494664,"MST",50,15
54,18.874982213495,"MST",50,15
55,20.4481060929452,"MST",50,15
56,21.960862666745,"MST",50,15
57,23.4198365452527,"MST",50,15
58,24.8318588933997,"MST",50,15
59,26.2035378305605,"MST",50,15
60,27.540939314567,"MST",50,15
61,28.8493807699382,"MST",50,15
62,30.1333510214207,"MST",50,15
63,31.3965378492022,"MST",50,15
64,32.6419182755145,"MST",50,15
65,33.8718687754321,"MST",50,15
66,35.0882698272655,"MST",50,15
67,36.2925960884081,"MST",50,15
68,37.4859932469485,"MST",50,15
69,38.669345517577,"MST",50,15
70,39.8433367586037,"MST",50,15
71,41.0085060570105,"MST",50,15
72,42.1652969764855,"MST",50,15
