M,X's Set,Coverage Probability
20,0-0,1
19,0-1,1
18,0-1,0.9684211
17,0-2,0.9912281
16,0-2,0.9680083
15,0-3,0.9860681
14,0-3,0.9625903
13,0-4,0.9776832
12,0-5,0.9845598
11,0-5,0.9601095
10,0-6,0.9651107
9,0-7,0.9651107
8,0-8,0.9601095
7,0-10,0.9776832
7,1-11,0.9620743
6,0-11,0.9625903
6,1-12,0.9685243
5,1-13,0.9592363
5,2-14,0.9592363
4,2-15,0.9550052
4,3-16,0.9680083
3,4-17,0.9824561
2,18-18,0
1,19-19,0
0,20-20,0
